Reusing configuration cache.
> Task :order-receiver:extractProto UP-TO-DATE
> Task :order-receiver:extractIncludeProto UP-TO-DATE
> Task :order-receiver:processResources UP-TO-DATE
> Task :order-receiver:generateProto UP-TO-DATE
> Task :order-receiver:compileJava UP-TO-DATE
> Task :order-receiver:classes UP-TO-DATE

> Task :order-receiver:run
19:49:26.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000051 - REJECTED
19:49:29.257 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:49:29.258 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: BUY NFLX 128 shares @ ${:.2f}
19:49:29.258 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000053
19:49:29.258 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000053: REJECTED
19:49:29.258 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000053 - REJECTED
19:49:32.259 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:49:32.260 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL TSLA 387 shares @ ${:.2f}
19:49:32.260 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000055
19:49:32.260 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000055: REJECTED
19:49:32.260 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000055 - REJECTED
19:49:34.844 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /0:0:0:0:0:0:0:1
19:49:34.845 [pool-1-thread-1] WARN  c.e.orderreceiver.tcp.OrderTcpServer - No order message received from client
19:49:35.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:49:35.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: BUY GOOGL 585 shares @ ${:.2f}
19:49:35.256 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000057
19:49:35.256 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000057: REJECTED
19:49:35.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000057 - REJECTED
19:49:38.256 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:49:38.257 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL ORCL 364 shares @ ${:.2f}
19:49:38.257 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added order: SENDER-000059
19:49:38.257 [pool-1-thread-1] INFO  c.example.orderreceiver.OrderManager - Added response for order SENDER-000059: REJECTED
19:49:38.257 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Sent response: SENDER-000059 - REJECTED
19:49:41.257 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Order client connected: /127.0.0.1
19:49:41.258 [pool-1-thread-1] INFO  c.e.orderreceiver.tcp.OrderTcpServer - Received order: SELL TXN 281 shares @ ${:.2f}
